Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1548662447,2019-01-28T08:00:47Z,AIC464,"30.60656,76.856888",7575,225,115
1548662458,2019-01-28T08:00:58Z,AIC464,"30.600882,76.870514",8075,229,115
1548662471,2019-01-28T08:01:11Z,AIC464,"30.595642,76.883186",8525,232,115
1548662483,2019-01-28T08:01:23Z,AIC464,"30.589615,76.897598",9050,234,115
1548662495,2019-01-28T08:01:35Z,AIC464,"30.584702,76.909363",9525,236,115
1548662508,2019-01-28T08:01:48Z,AIC464,"30.57811,76.92514",10050,237,115
1548662520,2019-01-28T08:02:00Z,AIC464,"30.572754,76.937958",10475,240,115
1548662532,2019-01-28T08:02:12Z,AIC464,"30.566116,76.953362",10900,246,118
1548662543,2019-01-28T08:02:23Z,AIC464,"30.558844,76.966042",11325,247,126
1548662551,2019-01-28T08:02:31Z,AIC464,"30.554077,76.973175",11475,255,127
1548662560,2019-01-28T08:02:40Z,AIC464,"30.548464,76.981422",11600,264,128
1548662572,2019-01-28T08:02:52Z,AIC464,"30.538467,76.995956",11775,278,128
1548662583,2019-01-28T08:03:03Z,AIC464,"30.528168,77.010986",11950,293,128
1548662595,2019-01-28T08:03:15Z,AIC464,"30.517593,77.026489",12100,308,128
1548662627,2019-01-28T08:03:47Z,AIC464,"30.490086,77.066841",13075,323,128
1548662659,2019-01-28T08:04:19Z,AIC464,"30.458477,77.113091",14175,337,128
1548662693,2019-01-28T08:04:53Z,AIC464,"30.425491,77.161346",15250,351,128
1548662717,2019-01-28T08:05:17Z,AIC464,"30.399124,77.196136",16125,353,139
1548662726,2019-01-28T08:05:26Z,AIC464,"30.387579,77.205215",16400,354,149
1548662734,2019-01-28T08:05:34Z,AIC464,"30.37487,77.213066",16700,355,152
1548662740,2019-01-28T08:05:40Z,AIC464,"30.365419,77.218613",16875,358,152
1548662747,2019-01-28T08:05:47Z,AIC464,"30.356249,77.223999",17000,362,153
1548662779,2019-01-28T08:06:19Z,AIC464,"30.306391,77.253059",18050,371,153
1548662840,2019-01-28T08:07:20Z,AIC464,"30.206676,77.311394",18900,416,153
1548662903,2019-01-28T08:08:23Z,AIC464,"30.096859,77.375443",20975,422,153
1548662946,2019-01-28T08:09:06Z,AIC464,"30.022749,77.414719",21975,411,164
1548662953,2019-01-28T08:09:13Z,AIC464,"30.010086,77.417633",22000,407,170
1548662961,2019-01-28T08:09:21Z,AIC464,"29.993362,77.418503",22000,401,180
1548662967,2019-01-28T08:09:27Z,AIC464,"29.982788,77.417366",22000,397,186
1548662975,2019-01-28T08:09:35Z,AIC464,"29.966537,77.412903",22000,393,195
1548662982,2019-01-28T08:09:42Z,AIC464,"29.955734,77.408051",22000,390,202
1548662989,2019-01-28T08:09:49Z,AIC464,"29.945892,77.402992",22000,390,204
1548662998,2019-01-28T08:09:58Z,AIC464,"29.931427,77.395393",22000,392,204
1548663061,2019-01-28T08:11:01Z,AIC464,"29.825832,77.340462",21850,387,204
1548663123,2019-01-28T08:12:03Z,AIC464,"29.726164,77.288498",21125,370,204
1548663188,2019-01-28T08:13:08Z,AIC464,"29.627474,77.237061",20075,366,204
1548663253,2019-01-28T08:14:13Z,AIC464,"29.527679,77.185135",19025,358,204
1548663262,2019-01-28T08:14:22Z,AIC464,"29.514212,77.178146",18825,356,204
1548663352,2019-01-28T08:15:52Z,AIC464,"29.382431,77.109711",16025,343,204
1548663384,2019-01-28T08:16:24Z,AIC464,"29.334,77.084564",15050,338,204
1548663409,2019-01-28T08:16:49Z,AIC464,"29.299419,77.069145",14400,337,193
1548663418,2019-01-28T08:16:58Z,AIC464,"29.285082,77.067261",14125,339,182
1548663438,2019-01-28T08:17:18Z,AIC464,"29.253939,77.075714",13550,345,157
1548663447,2019-01-28T08:17:27Z,AIC464,"29.244022,77.080727",13350,342,155
1548663480,2019-01-28T08:18:00Z,AIC464,"29.196726,77.104691",12525,334,156
1548663511,2019-01-28T08:18:31Z,AIC464,"29.150208,77.12809",11675,325,156
1548663524,2019-01-28T08:18:44Z,AIC464,"29.133453,77.136543",11350,324,156
1548663535,2019-01-28T08:18:55Z,AIC464,"29.118896,77.143776",11100,321,156
1548663548,2019-01-28T08:19:08Z,AIC464,"29.101339,77.152618",10850,314,156
1548663559,2019-01-28T08:19:19Z,AIC464,"29.085234,77.160751",10550,311,156
1548663572,2019-01-28T08:19:32Z,AIC464,"29.069229,77.168762",10350,307,156
1548663583,2019-01-28T08:19:43Z,AIC464,"29.054741,77.176102",10150,301,156
1548663596,2019-01-28T08:19:56Z,AIC464,"29.038834,77.184082",10000,294,156
1548663608,2019-01-28T08:20:08Z,AIC464,"29.024063,77.191505",10000,282,156
1548663621,2019-01-28T08:20:21Z,AIC464,"29.009678,77.198776",10000,276,156
1548663632,2019-01-28T08:20:32Z,AIC464,"28.995712,77.205772",10000,273,156
1548663642,2019-01-28T08:20:42Z,AIC464,"28.981659,77.212814",10000,272,156
1548663657,2019-01-28T08:20:57Z,AIC464,"28.96788,77.219734",10000,272,156
1548663667,2019-01-28T08:21:07Z,AIC464,"28.954285,77.226547",10000,272,156
1548663680,2019-01-28T08:21:20Z,AIC464,"28.940224,77.23362",10000,273,156
1548663691,2019-01-28T08:21:31Z,AIC464,"28.926397,77.240509",10000,273,156
1548663704,2019-01-28T08:21:44Z,AIC464,"28.912571,77.247513",10000,273,156
1548663715,2019-01-28T08:21:55Z,AIC464,"28.898466,77.254517",10000,273,156
1548663727,2019-01-28T08:22:07Z,AIC464,"28.884338,77.261566",10000,272,156
1548663739,2019-01-28T08:22:19Z,AIC464,"28.870468,77.268433",10000,273,156
1548663750,2019-01-28T08:22:30Z,AIC464,"28.856918,77.275246",10000,264,156
1548663764,2019-01-28T08:22:44Z,AIC464,"28.843872,77.281792",10000,259,156
1548663775,2019-01-28T08:22:55Z,AIC464,"28.830452,77.289139",10000,256,150
1548663781,2019-01-28T08:23:01Z,AIC464,"28.824774,77.293991",10000,255,140
1548663788,2019-01-28T08:23:08Z,AIC464,"28.820068,77.299591",10000,255,131
1548663795,2019-01-28T08:23:15Z,AIC464,"28.815674,77.305878",10000,255,127
1548663805,2019-01-28T08:23:25Z,AIC464,"28.808992,77.316071",9950,257,126
1548663812,2019-01-28T08:23:32Z,AIC464,"28.802708,77.325867",9800,257,125
1548663827,2019-01-28T08:23:47Z,AIC464,"28.792282,77.342163",9525,254,126
1548663840,2019-01-28T08:24:00Z,AIC464,"28.784552,77.354195",9325,252,126
1548663852,2019-01-28T08:24:12Z,AIC464,"28.775757,77.367783",9150,251,126
1548663865,2019-01-28T08:24:25Z,AIC464,"28.767281,77.380966",9025,249,126
1548663876,2019-01-28T08:24:36Z,AIC464,"28.758957,77.393822",9000,249,126
1548663886,2019-01-28T08:24:46Z,AIC464,"28.75145,77.405441",9000,251,126
1548663901,2019-01-28T08:25:01Z,AIC464,"28.742609,77.419037",9000,251,126
1548663912,2019-01-28T08:25:12Z,AIC464,"28.734238,77.432007",9000,250,126
1548663924,2019-01-28T08:25:24Z,AIC464,"28.726082,77.444618",9000,248,126
1548663932,2019-01-28T08:25:32Z,AIC464,"28.718445,77.453346",8975,248,139
1548663940,2019-01-28T08:25:40Z,AIC464,"28.713043,77.457153",9000,247,150
1548663948,2019-01-28T08:25:48Z,AIC464,"28.702972,77.462013",9025,246,158
1548663958,2019-01-28T08:25:58Z,AIC464,"28.693588,77.465973",9000,247,159
1548663965,2019-01-28T08:26:05Z,AIC464,"28.683655,77.470039",9000,247,160
1548663980,2019-01-28T08:26:20Z,AIC464,"28.667753,77.476555",9000,248,159
1548663992,2019-01-28T08:26:32Z,AIC464,"28.654587,77.482086",9000,248,159
1548664006,2019-01-28T08:26:46Z,AIC464,"28.641678,77.487473",9000,249,159
1548664016,2019-01-28T08:26:56Z,AIC464,"28.628229,77.493195",9000,250,159
1548664030,2019-01-28T08:27:10Z,AIC464,"28.61499,77.498772",8925,248,159
1548664040,2019-01-28T08:27:20Z,AIC464,"28.602394,77.504128",8775,245,159
1548664053,2019-01-28T08:27:33Z,AIC464,"28.589584,77.509499",8600,241,159
1548664065,2019-01-28T08:27:45Z,AIC464,"28.577023,77.514793",8425,235,159
1548664076,2019-01-28T08:27:56Z,AIC464,"28.565199,77.519691",8275,229,159
1548664088,2019-01-28T08:28:08Z,AIC464,"28.553467,77.524536",8125,222,159
1548664101,2019-01-28T08:28:21Z,AIC464,"28.541428,77.52951",7950,216,160
1548664115,2019-01-28T08:28:35Z,AIC464,"28.53005,77.531593",7750,211,179
1548664137,2019-01-28T08:28:57Z,AIC464,"28.508286,77.526398",7400,201,194
1548664146,2019-01-28T08:29:06Z,AIC464,"28.500723,77.522545",7175,200,211
