Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549439680,2019-02-06T07:54:40Z,AIC464,"30.677216,76.779053",0,21,115
1549439689,2019-02-06T07:54:49Z,AIC464,"30.676668,76.780464",0,47,115
1549439699,2019-02-06T07:54:59Z,AIC464,"30.675119,76.784462",0,94,115
1549439718,2019-02-06T07:55:18Z,AIC464,"30.670807,76.795616",1075,153,113
1549439728,2019-02-06T07:55:28Z,AIC464,"30.667498,76.804375",1525,149,113
1549439735,2019-02-06T07:55:35Z,AIC464,"30.665775,76.808716",1775,148,114
1549439742,2019-02-06T07:55:42Z,AIC464,"30.663986,76.813118",2025,144,115
1549439749,2019-02-06T07:55:49Z,AIC464,"30.662292,76.817268",2275,142,115
1549439755,2019-02-06T07:55:55Z,AIC464,"30.660599,76.821526",2500,141,115
1549439761,2019-02-06T07:56:01Z,AIC464,"30.658884,76.825745",2700,140,114
1549439771,2019-02-06T07:56:11Z,AIC464,"30.655472,76.834015",2975,149,115
1549439777,2019-02-06T07:56:17Z,AIC464,"30.653503,76.838806",3075,157,115
1549439784,2019-02-06T07:56:24Z,AIC464,"30.651901,76.842636",3200,162,115
1549439790,2019-02-06T07:56:30Z,AIC464,"30.649481,76.848488",3300,170,115
1549439797,2019-02-06T07:56:37Z,AIC464,"30.647461,76.853401",3375,178,115
1549439808,2019-02-06T07:56:48Z,AIC464,"30.642918,76.864418",3575,194,115
1549439815,2019-02-06T07:56:55Z,AIC464,"30.64032,76.870583",3700,203,115
1549439827,2019-02-06T07:57:07Z,AIC464,"30.634771,76.882599",4100,213,119
1549439837,2019-02-06T07:57:17Z,AIC464,"30.62883,76.894768",4400,228,119
1549439844,2019-02-06T07:57:24Z,AIC464,"30.625507,76.90155",4550,236,119
1549439850,2019-02-06T07:57:30Z,AIC464,"30.621969,76.908798",4725,243,119
1549439856,2019-02-06T07:57:36Z,AIC464,"30.619308,76.914314",4925,248,119
1549439863,2019-02-06T07:57:43Z,AIC464,"30.615234,76.922661",5200,249,119
1549439875,2019-02-06T07:57:55Z,AIC464,"30.607864,76.936287",5800,250,123
1549439886,2019-02-06T07:58:06Z,AIC464,"30.599903,76.949722",6425,249,124
1549439900,2019-02-06T07:58:20Z,AIC464,"30.591614,76.963158",6950,255,125
1549439911,2019-02-06T07:58:31Z,AIC464,"30.582962,76.976997",7475,259,125
1549439924,2019-02-06T07:58:44Z,AIC464,"30.574718,76.990433",7975,262,125
1549439934,2019-02-06T07:58:54Z,AIC464,"30.5662,77.004547",8500,265,124
1549439949,2019-02-06T07:59:09Z,AIC464,"30.557634,77.019211",9000,269,123
1549439961,2019-02-06T07:59:21Z,AIC464,"30.550138,77.032669",9500,274,122
1549439971,2019-02-06T07:59:31Z,AIC464,"30.541168,77.049324",9925,281,121
1549439983,2019-02-06T07:59:43Z,AIC464,"30.532867,77.064804",10300,288,122
1549439998,2019-02-06T07:59:58Z,AIC464,"30.522171,77.084442",10975,289,122
1549440010,2019-02-06T08:00:10Z,AIC464,"30.51329,77.100708",11525,290,122
1549440022,2019-02-06T08:00:22Z,AIC464,"30.50473,77.116592",12025,292,121
1549440057,2019-02-06T08:00:57Z,AIC464,"30.481522,77.159889",13125,308,121
1549440086,2019-02-06T08:01:26Z,AIC464,"30.456757,77.206474",13725,335,121
1549440118,2019-02-06T08:01:58Z,AIC464,"30.430267,77.25663",15000,344,121
1549440129,2019-02-06T08:02:09Z,AIC464,"30.421921,77.269966",15300,342,131
1549440138,2019-02-06T08:02:18Z,AIC464,"30.409653,77.281494",15625,334,146
1549440147,2019-02-06T08:02:27Z,AIC464,"30.397215,77.289093",16025,330,153
1549440156,2019-02-06T08:02:36Z,AIC464,"30.384459,77.296013",16375,331,155
1549440163,2019-02-06T08:02:43Z,AIC464,"30.375824,77.30056",16625,332,155
1549440196,2019-02-06T08:03:16Z,AIC464,"30.32991,77.326141",17900,338,153
1549440230,2019-02-06T08:03:50Z,AIC464,"30.282898,77.353394",19050,347,153
1549440291,2019-02-06T08:04:51Z,AIC464,"30.189789,77.407677",20000,356,153
1549440352,2019-02-06T08:05:52Z,AIC464,"30.100891,77.45948",21300,362,153
1549440407,2019-02-06T08:06:47Z,AIC464,"30.018082,77.504288",22000,349,165
1549440414,2019-02-06T08:06:54Z,AIC464,"30.004211,77.506554",22000,343,175
1549440439,2019-02-06T08:07:19Z,AIC464,"29.968935,77.499374",22000,332,201
1549440449,2019-02-06T08:07:29Z,AIC464,"29.956421,77.492607",22000,337,206
1549440509,2019-02-06T08:08:29Z,AIC464,"29.864704,77.437401",22000,369,207
1549440572,2019-02-06T08:09:32Z,AIC464,"29.768293,77.380051",22000,369,207
1549440634,2019-02-06T08:10:34Z,AIC464,"29.676956,77.325844",22000,368,206
1549440642,2019-02-06T08:10:42Z,AIC464,"29.661783,77.319298",21925,373,197
1549440650,2019-02-06T08:10:50Z,AIC464,"29.646978,77.315582",21775,377,189
1549440656,2019-02-06T08:10:56Z,AIC464,"29.636599,77.313805",21700,377,188
1549440665,2019-02-06T08:11:05Z,AIC464,"29.625565,77.31192",21600,376,188
1549440673,2019-02-06T08:11:13Z,AIC464,"29.610109,77.309608",21475,377,187
1549440704,2019-02-06T08:11:44Z,AIC464,"29.55867,77.297272",20925,370,201
1549440712,2019-02-06T08:11:52Z,AIC464,"29.5448,77.289871",20750,367,207
1549440720,2019-02-06T08:12:00Z,AIC464,"29.53331,77.282532",20625,366,209
1549440727,2019-02-06T08:12:07Z,AIC464,"29.522369,77.275452",20525,365,209
1549440787,2019-02-06T08:13:07Z,AIC464,"29.433397,77.217407",19500,364,209
1549440850,2019-02-06T08:14:10Z,AIC464,"29.341141,77.157455",18400,360,209
1549440911,2019-02-06T08:15:11Z,AIC464,"29.254217,77.100975",16125,345,209
1549440943,2019-02-06T08:15:43Z,AIC464,"29.209259,77.071678",14450,351,209
1549440979,2019-02-06T08:16:19Z,AIC464,"29.160553,77.040039",13000,350,209
1549441007,2019-02-06T08:16:47Z,AIC464,"29.120178,77.01384",12175,335,209
1549441041,2019-02-06T08:17:21Z,AIC464,"29.07637,76.985535",11625,306,209
1549441053,2019-02-06T08:17:33Z,AIC464,"29.062637,76.976555",11450,298,209
