Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549526387,2019-02-07T07:59:47Z,AIC464,"30.670097,76.78595",0,9,202
1549526411,2019-02-07T08:00:11Z,AIC464,"30.670372,76.786087",0,10,216
1549526441,2019-02-07T08:00:41Z,AIC464,"30.670624,76.786316",0,9,253
1549526462,2019-02-07T08:01:02Z,AIC464,"30.670727,76.786545",0,2,292
1549526685,2019-02-07T08:04:45Z,AIC464,"30.670864,76.786163",0,20,295
1549526692,2019-02-07T08:04:52Z,AIC464,"30.670954,76.78595",0,21,295
1549526701,2019-02-07T08:05:01Z,AIC464,"30.671116,76.785538",0,25,292
1549526720,2019-02-07T08:05:20Z,AIC464,"30.671562,76.784348",0,33,292
1549526733,2019-02-07T08:05:33Z,AIC464,"30.671919,76.783394",0,34,295
1549526742,2019-02-07T08:05:42Z,AIC464,"30.672157,76.782761",0,28,292
1549526749,2019-02-07T08:05:49Z,AIC464,"30.672386,76.782547",0,27,340
1549526757,2019-02-07T08:05:57Z,AIC464,"30.672838,76.782654",0,29,22
1549526797,2019-02-07T08:06:37Z,AIC464,"30.673931,76.783218",0,18,25
1549526809,2019-02-07T08:06:49Z,AIC464,"30.674294,76.783417",0,19,25
1549526827,2019-02-07T08:07:07Z,AIC464,"30.674881,76.78373",0,24,25
1549526833,2019-02-07T08:07:13Z,AIC464,"30.67519,76.783813",0,20,8
1549526849,2019-02-07T08:07:29Z,AIC464,"30.675533,76.783379",0,23,292
1549526856,2019-02-07T08:07:36Z,AIC464,"30.675726,76.782883",0,33,292
1549526866,2019-02-07T08:07:46Z,AIC464,"30.675991,76.782166",0,17,295
1549526876,2019-02-07T08:07:56Z,AIC464,"30.676342,76.781281",0,29,295
1549526884,2019-02-07T08:08:04Z,AIC464,"30.676481,76.780907",0,27,295
1549526895,2019-02-07T08:08:15Z,AIC464,"30.676701,76.78038",0,23,295
1549526908,2019-02-07T08:08:28Z,AIC464,"30.676889,76.779877",0,19,292
1549526915,2019-02-07T08:08:35Z,AIC464,"30.676941,76.779572",0,19,272
1549526924,2019-02-07T08:08:44Z,AIC464,"30.676907,76.779236",0,24,261
1549526934,2019-02-07T08:08:54Z,AIC464,"30.676867,76.778656",0,22,272
1549526941,2019-02-07T08:09:01Z,AIC464,"30.67697,76.778313",0,18,295
1549526956,2019-02-07T08:09:16Z,AIC464,"30.677341,76.778198",0,17,11
1549526972,2019-02-07T08:09:32Z,AIC464,"30.677355,76.778641",0,2,109
1549526996,2019-02-07T08:09:56Z,AIC464,"30.677193,76.779083",0,33,112
1549527006,2019-02-07T08:10:06Z,AIC464,"30.676563,76.780716",0,52,115
1549527018,2019-02-07T08:10:18Z,AIC464,"30.674782,76.785316",0,100,115
1549527029,2019-02-07T08:10:29Z,AIC464,"30.671997,76.792496",1275,138,114
1549527036,2019-02-07T08:10:36Z,AIC464,"30.670532,76.796371",1500,138,113
1549527044,2019-02-07T08:10:44Z,AIC464,"30.668106,76.802727",1900,133,114
1549527050,2019-02-07T08:10:50Z,AIC464,"30.666473,76.806793",2225,129,114
1549527056,2019-02-07T08:10:56Z,AIC464,"30.665039,76.810486",2600,123,113
1549527064,2019-02-07T08:11:04Z,AIC464,"30.663666,76.814087",2950,117,113
1549527073,2019-02-07T08:11:13Z,AIC464,"30.661377,76.819641",3275,121,117
1549527080,2019-02-07T08:11:20Z,AIC464,"30.659349,76.822998",3475,129,127
1549527088,2019-02-07T08:11:28Z,AIC464,"30.655426,76.827988",3775,140,134
1549527094,2019-02-07T08:11:34Z,AIC464,"30.652554,76.831345",3975,147,135
1549527102,2019-02-07T08:11:42Z,AIC464,"30.649155,76.835304",4225,156,134
1549527109,2019-02-07T08:11:49Z,AIC464,"30.644989,76.84053",4625,163,131
1549527126,2019-02-07T08:12:06Z,AIC464,"30.636261,76.852554",5225,185,129
1549527139,2019-02-07T08:12:19Z,AIC464,"30.627548,76.865089",5675,208,128
1549527152,2019-02-07T08:12:32Z,AIC464,"30.620453,76.874893",6200,219,132
1549527163,2019-02-07T08:12:43Z,AIC464,"30.612808,76.882866",6700,224,141
1549527172,2019-02-07T08:12:52Z,AIC464,"30.604202,76.888893",7225,228,152
1549527179,2019-02-07T08:12:59Z,AIC464,"30.596458,76.892929",7725,229,156
1549527186,2019-02-07T08:13:06Z,AIC464,"30.589941,76.896004",8125,230,157
1549527196,2019-02-07T08:13:16Z,AIC464,"30.58077,76.900345",8675,232,157
1549527208,2019-02-07T08:13:28Z,AIC464,"30.568451,76.906235",9375,237,156
1549527224,2019-02-07T08:13:44Z,AIC464,"30.552607,76.914238",10275,240,156
1549527234,2019-02-07T08:13:54Z,AIC464,"30.540922,76.920334",10950,243,155
1549527246,2019-02-07T08:14:06Z,AIC464,"30.528168,76.928642",11675,247,143
1549527257,2019-02-07T08:14:17Z,AIC464,"30.520765,76.937035",12125,257,129
1549527264,2019-02-07T08:14:24Z,AIC464,"30.514435,76.948891",12625,266,119
1549527270,2019-02-07T08:14:30Z,AIC464,"30.511368,76.95546",12925,268,117
1549527276,2019-02-07T08:14:36Z,AIC464,"30.509499,76.959557",13100,270,117
1549527293,2019-02-07T08:14:53Z,AIC464,"30.49617,76.981743",13975,268,136
1549527304,2019-02-07T08:15:04Z,AIC464,"30.484873,76.992241",14700,265,141
1549527311,2019-02-07T08:15:11Z,AIC464,"30.478683,76.997894",15050,265,141
1549527341,2019-02-07T08:15:41Z,AIC464,"30.447968,77.026169",15975,283,141
