Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549610930,2019-02-08T07:28:50Z,AIC464,"30.669949,76.785858",0,0,205
1549610966,2019-02-08T07:29:26Z,AIC464,"30.670185,76.786003",0,9,202
1549611011,2019-02-08T07:30:11Z,AIC464,"30.670509,76.786163",0,2,171
1549611023,2019-02-08T07:30:23Z,AIC464,"30.670151,76.78595",0,2,157
1549611054,2019-02-08T07:30:54Z,AIC464,"30.670883,76.786156",0,2,112
1549611168,2019-02-08T07:32:48Z,AIC464,"30.670784,76.786507",0,21,112
1549611176,2019-02-08T07:32:56Z,AIC464,"30.670673,76.786781",0,26,115
1549611182,2019-02-08T07:33:02Z,AIC464,"30.670498,76.787247",0,29,112
1549611199,2019-02-08T07:33:19Z,AIC464,"30.670103,76.788223",0,32,118
1549611206,2019-02-08T07:33:26Z,AIC464,"30.669767,76.788567",0,33,143
1549611214,2019-02-08T07:33:34Z,AIC464,"30.669296,76.789185",0,34,118
1549611223,2019-02-08T07:33:43Z,AIC464,"30.669033,76.789833",0,15,115
1549611231,2019-02-08T07:33:51Z,AIC464,"30.668804,76.790421",0,15,115
1549611240,2019-02-08T07:34:00Z,AIC464,"30.668564,76.791069",0,31,112
1549611246,2019-02-08T07:34:06Z,AIC464,"30.668533,76.791428",0,27,87
1549611253,2019-02-08T07:34:13Z,AIC464,"30.668724,76.791725",0,27,39
1549611259,2019-02-08T07:34:19Z,AIC464,"30.668976,76.791893",0,27,28
1549611265,2019-02-08T07:34:25Z,AIC464,"30.669266,76.792046",0,28,22
1549611273,2019-02-08T07:34:33Z,AIC464,"30.66979,76.79232",0,34,25
1549611280,2019-02-08T07:34:40Z,AIC464,"30.670139,76.792496",0,16,25
1549611291,2019-02-08T07:34:51Z,AIC464,"30.671116,76.792992",0,16,25
1549611297,2019-02-08T07:34:57Z,AIC464,"30.671459,76.793236",0,31,36
1549611310,2019-02-08T07:35:10Z,AIC464,"30.671431,76.793983",0,31,109
1549611321,2019-02-08T07:35:21Z,AIC464,"30.671162,76.794701",0,17,112
1549611330,2019-02-08T07:35:30Z,AIC464,"30.670767,76.795738",0,22,115
1549611401,2019-02-08T07:36:41Z,AIC464,"30.669918,76.797935",0,18,295
1549611525,2019-02-08T07:38:45Z,AIC464,"30.701387,76.714066",3575,194,293
1549611533,2019-02-08T07:38:53Z,AIC464,"30.704041,76.705254",3950,194,282
1549611558,2019-02-08T07:39:18Z,AIC464,"30.696579,76.682365",4900,196,221
1549611567,2019-02-08T07:39:27Z,AIC464,"30.689072,76.678108",5250,195,199
