Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550216673,2019-02-15T07:44:33Z,AIC464,"30.677364,76.778656",0,0,115
1550216710,2019-02-15T07:45:10Z,AIC464,"30.677204,76.779045",0,15,112
1550216722,2019-02-15T07:45:22Z,AIC464,"30.676369,76.781197",0,60,112
1550216730,2019-02-15T07:45:30Z,AIC464,"30.674789,76.785294",0,100,115
1550216742,2019-02-15T07:45:42Z,AIC464,"30.672237,76.791885",0,140,115
1550216749,2019-02-15T07:45:49Z,AIC464,"30.669731,76.798332",1125,159,113
1550216755,2019-02-15T07:45:55Z,AIC464,"30.667776,76.803329",1350,160,114
1550216761,2019-02-15T07:46:01Z,AIC464,"30.665915,76.80822",1575,160,113
1550216767,2019-02-15T07:46:07Z,AIC464,"30.664352,76.812424",1850,158,113
1550216773,2019-02-15T07:46:13Z,AIC464,"30.662422,76.817451",2150,155,113
1550216779,2019-02-15T07:46:19Z,AIC464,"30.660599,76.822273",2425,153,114
1550216785,2019-02-15T07:46:25Z,AIC464,"30.658951,76.827019",2675,153,110
1550216791,2019-02-15T07:46:31Z,AIC464,"30.65786,76.831017",2850,157,106
1550216798,2019-02-15T07:46:38Z,AIC464,"30.65657,76.836601",3050,166,104
1550216804,2019-02-15T07:46:44Z,AIC464,"30.655426,76.842148",3250,173,102
1550216810,2019-02-15T07:46:50Z,AIC464,"30.654369,76.847771",3450,179,102
1550216820,2019-02-15T07:47:00Z,AIC464,"30.652267,76.856201",3800,188,108
1550216827,2019-02-15T07:47:07Z,AIC464,"30.650179,76.862328",4050,194,112
1550216834,2019-02-15T07:47:14Z,AIC464,"30.646545,76.871605",4450,203,115
1550216840,2019-02-15T07:47:20Z,AIC464,"30.644407,76.87661",4675,208,116
1550216851,2019-02-15T07:47:31Z,AIC464,"30.638634,76.889961",5100,227,116
1550216864,2019-02-15T07:47:44Z,AIC464,"30.633095,76.903091",5500,243,116
1550216876,2019-02-15T07:47:56Z,AIC464,"30.62639,76.919075",6050,259,115
1550216887,2019-02-15T07:48:07Z,AIC464,"30.620682,76.933327",6775,261,114
