Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550820166,2019-02-22T07:22:46Z,AIC464,"30.670029,76.785927",0,9,205
1550820226,2019-02-22T07:23:46Z,AIC464,"30.670662,76.786232",0,9,165
1550820488,2019-02-22T07:28:08Z,AIC464,"30.670755,76.786469",0,16,112
1550820498,2019-02-22T07:28:18Z,AIC464,"30.670647,76.786758",0,18,115
1550820515,2019-02-22T07:28:35Z,AIC464,"30.670395,76.787415",0,22,112
1550820534,2019-02-22T07:28:54Z,AIC464,"30.670063,76.788269",0,25,118
1550820541,2019-02-22T07:29:01Z,AIC464,"30.669767,76.788582",0,26,149
1550820555,2019-02-22T07:29:15Z,AIC464,"30.669308,76.789116",0,27,115
1550820570,2019-02-22T07:29:30Z,AIC464,"30.668976,76.789986",0,28,115
1550820581,2019-02-22T07:29:41Z,AIC464,"30.668718,76.790657",0,29,115
1550820588,2019-02-22T07:29:48Z,AIC464,"30.668568,76.791084",0,29,112
1550820595,2019-02-22T07:29:55Z,AIC464,"30.668518,76.79155",0,26,73
1550820602,2019-02-22T07:30:02Z,AIC464,"30.668777,76.791794",0,25,22
1550820608,2019-02-22T07:30:08Z,AIC464,"30.669067,76.791931",0,25,25
1550820615,2019-02-22T07:30:15Z,AIC464,"30.669319,76.792061",0,26,22
1550820621,2019-02-22T07:30:21Z,AIC464,"30.669628,76.792229",0,28,25
1550820629,2019-02-22T07:30:29Z,AIC464,"30.670086,76.792465",0,29,25
1550820637,2019-02-22T07:30:37Z,AIC464,"30.670326,76.792587",0,25,25
1550820647,2019-02-22T07:30:47Z,AIC464,"30.670601,76.79274",0,11,22
1550820850,2019-02-22T07:34:10Z,AIC464,"30.670883,76.792885",0,19,25
1550820861,2019-02-22T07:34:21Z,AIC464,"30.671288,76.793091",0,22,22
1550820872,2019-02-22T07:34:32Z,AIC464,"30.671551,76.793381",0,21,64
1550820884,2019-02-22T07:34:44Z,AIC464,"30.671482,76.793869",0,21,109
1550820891,2019-02-22T07:34:51Z,AIC464,"30.671391,76.794136",0,25,112
1550820897,2019-02-22T07:34:57Z,AIC464,"30.671198,76.79464",0,31,115
1550820904,2019-02-22T07:35:04Z,AIC464,"30.671013,76.79512",0,15,112
1550820917,2019-02-22T07:35:17Z,AIC464,"30.670624,76.79612",0,17,115
1550820964,2019-02-22T07:36:04Z,AIC464,"30.668882,76.800644",0,20,112
1550820977,2019-02-22T07:36:17Z,AIC464,"30.668839,76.801598",0,30,92
1550820985,2019-02-22T07:36:25Z,AIC464,"30.668568,76.80188",0,27,163
1550820994,2019-02-22T07:36:34Z,AIC464,"30.668451,76.801544",0,20,292
1550821000,2019-02-22T07:36:40Z,AIC464,"30.668579,76.801338",0,19,298
1550821006,2019-02-22T07:36:46Z,AIC464,"30.668678,76.801102",0,21,295
1550821012,2019-02-22T07:36:52Z,AIC464,"30.668882,76.800598",0,18,295
1550821028,2019-02-22T07:37:08Z,AIC464,"30.670023,76.797661",0,68,295
1550821036,2019-02-22T07:37:16Z,AIC464,"30.671356,76.794205",0,98,295
1550821043,2019-02-22T07:37:23Z,AIC464,"30.673508,76.788628",0,125,295
1550821055,2019-02-22T07:37:35Z,AIC464,"30.676807,76.780205",1125,144,294
1550821063,2019-02-22T07:37:43Z,AIC464,"30.678543,76.775856",1325,145,295
1550821070,2019-02-22T07:37:50Z,AIC464,"30.680067,76.772133",1500,148,295
1550821080,2019-02-22T07:38:00Z,AIC464,"30.683807,76.762711",1875,152,294
1550821086,2019-02-22T07:38:06Z,AIC464,"30.685547,76.75824",2075,153,294
1550821093,2019-02-22T07:38:13Z,AIC464,"30.687469,76.753395",2300,154,294
1550821106,2019-02-22T07:38:26Z,AIC464,"30.69104,76.74424",2675,158,294
1550821116,2019-02-22T07:38:36Z,AIC464,"30.694977,76.734276",2875,173,294
1550821122,2019-02-22T07:38:42Z,AIC464,"30.696991,76.729057",3000,182,294
1550821134,2019-02-22T07:38:54Z,AIC464,"30.70134,76.717743",3175,198,293
1550821140,2019-02-22T07:39:00Z,AIC464,"30.702713,76.711388",3275,207,279
1550821164,2019-02-22T07:39:24Z,AIC464,"30.692505,76.686455",4250,224,217
1550821172,2019-02-22T07:39:32Z,AIC464,"30.687286,76.683441",4550,225,202
1550821178,2019-02-22T07:39:38Z,AIC464,"30.680786,76.68161",4925,225,189
