Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551167749,2019-02-26T07:55:49Z,AIC464,"30.670109,76.785965",0,10,202
1551167773,2019-02-26T07:56:13Z,AIC464,"30.670441,76.78611",0,11,210
1551167798,2019-02-26T07:56:38Z,AIC464,"30.670704,76.786301",0,10,267
1551167808,2019-02-26T07:56:48Z,AIC464,"30.670208,76.786003",0,10,286
1551167840,2019-02-26T07:57:20Z,AIC464,"30.67071,76.786591",0,0,106
1551167956,2019-02-26T07:59:16Z,AIC464,"30.67071,76.786591",0,0,89
1551168112,2019-02-26T08:01:52Z,AIC464,"30.670967,76.785927",0,22,295
1551168121,2019-02-26T08:02:01Z,AIC464,"30.671139,76.785492",0,26,295
1551168129,2019-02-26T08:02:09Z,AIC464,"30.671349,76.784927",0,30,295
1551168137,2019-02-26T08:02:17Z,AIC464,"30.671539,76.784454",0,33,292
1551168144,2019-02-26T08:02:24Z,AIC464,"30.671734,76.783958",0,15,292
1551168150,2019-02-26T08:02:30Z,AIC464,"30.671944,76.783379",0,15,295
1551168156,2019-02-26T08:02:36Z,AIC464,"30.672117,76.782951",0,32,292
1551168164,2019-02-26T08:02:44Z,AIC464,"30.672293,76.782585",0,20,317
1551168171,2019-02-26T08:02:51Z,AIC464,"30.672501,76.782501",0,22,351
1551168201,2019-02-26T08:03:21Z,AIC464,"30.673943,76.783218",0,28,25
1551168213,2019-02-26T08:03:33Z,AIC464,"30.674503,76.783516",0,29,25
1551168228,2019-02-26T08:03:48Z,AIC464,"30.67519,76.783821",0,20,20
1551168236,2019-02-26T08:03:56Z,AIC464,"30.675407,76.783661",0,20,315
1551168243,2019-02-26T08:04:03Z,AIC464,"30.675533,76.783394",0,22,298
1551168256,2019-02-26T08:04:16Z,AIC464,"30.675774,76.782761",0,27,292
1551168267,2019-02-26T08:04:27Z,AIC464,"30.676016,76.782158",0,31,292
1551168276,2019-02-26T08:04:36Z,AIC464,"30.676319,76.781357",0,15,292
1551168282,2019-02-26T08:04:42Z,AIC464,"30.676516,76.780853",0,16,295
1551168289,2019-02-26T08:04:49Z,AIC464,"30.676714,76.780357",0,18,295
1551168297,2019-02-26T08:04:57Z,AIC464,"30.676907,76.77977",0,16,286
1551168303,2019-02-26T08:05:03Z,AIC464,"30.676947,76.779343",0,32,272
1551168309,2019-02-26T08:05:09Z,AIC464,"30.676935,76.778946",0,30,267
1551168315,2019-02-26T08:05:15Z,AIC464,"30.676964,76.778427",0,22,281
1551168324,2019-02-26T08:05:24Z,AIC464,"30.677216,76.77829",0,17,345
1551168341,2019-02-26T08:05:41Z,AIC464,"30.677389,76.778625",0,13,87
1551168355,2019-02-26T08:05:55Z,AIC464,"30.67725,76.778923",0,14,115
1551168365,2019-02-26T08:06:05Z,AIC464,"30.677052,76.779434",0,17,115
1551168372,2019-02-26T08:06:12Z,AIC464,"30.676563,76.780701",0,51,115
1551168385,2019-02-26T08:06:25Z,AIC464,"30.67432,76.786507",0,120,115
1551168395,2019-02-26T08:06:35Z,AIC464,"30.671356,76.794273",1225,162,113
1551168402,2019-02-26T08:06:42Z,AIC464,"30.669825,76.798279",1575,162,113
1551168408,2019-02-26T08:06:48Z,AIC464,"30.667915,76.803276",1975,159,113
1551168414,2019-02-26T08:06:54Z,AIC464,"30.666,76.808327",2375,160,113
1551168424,2019-02-26T08:07:04Z,AIC464,"30.662659,76.817162",3075,158,113
1551168432,2019-02-26T08:07:12Z,AIC464,"30.660416,76.822495",3350,164,116
1551168439,2019-02-26T08:07:19Z,AIC464,"30.657166,76.830086",3725,174,114
1551168446,2019-02-26T08:07:26Z,AIC464,"30.655626,76.834976",3950,182,108
1551168453,2019-02-26T08:07:33Z,AIC464,"30.654236,76.840805",4150,190,104
1551168463,2019-02-26T08:07:43Z,AIC464,"30.652227,76.85096",4500,202,102
1551168470,2019-02-26T08:07:50Z,AIC464,"30.650162,76.860031",4875,211,105
1551168476,2019-02-26T08:07:56Z,AIC464,"30.648285,76.86692",5100,219,107
1551168490,2019-02-26T08:08:10Z,AIC464,"30.643616,76.881226",5550,234,111
1551168504,2019-02-26T08:08:24Z,AIC464,"30.636795,76.899506",6175,252,114
1551168514,2019-02-26T08:08:34Z,AIC464,"30.630707,76.915176",6825,259,113
1551168527,2019-02-26T08:08:47Z,AIC464,"30.625368,76.929893",7575,262,112
1551168539,2019-02-26T08:08:59Z,AIC464,"30.619688,76.946869",8300,266,110
1551168551,2019-02-26T08:09:11Z,AIC464,"30.614706,76.962631",8975,271,110
1551168566,2019-02-26T08:09:26Z,AIC464,"30.609238,76.979965",9700,274,110
1551168576,2019-02-26T08:09:36Z,AIC464,"30.604111,76.99617",10325,280,110
1551168588,2019-02-26T08:09:48Z,AIC464,"30.598434,77.013947",10925,286,110
1551168599,2019-02-26T08:09:59Z,AIC464,"30.593033,77.030853",11600,291,110
1551168611,2019-02-26T08:10:11Z,AIC464,"30.586916,77.04921",12350,291,111
1551168633,2019-02-26T08:10:33Z,AIC464,"30.575323,77.07991",13525,295,120
1551168639,2019-02-26T08:10:39Z,AIC464,"30.571289,77.08638",13825,296,127
1551168646,2019-02-26T08:10:46Z,AIC464,"30.56488,77.093864",14100,298,137
1551168655,2019-02-26T08:10:55Z,AIC464,"30.553909,77.102379",14450,304,149
1551168662,2019-02-26T08:11:02Z,AIC464,"30.546228,77.107216",14775,305,152
1551168671,2019-02-26T08:11:11Z,AIC464,"30.535629,77.113464",15325,305,153
1551168709,2019-02-26T08:11:49Z,AIC464,"30.485991,77.144295",17450,317,145
1551168715,2019-02-26T08:11:55Z,AIC464,"30.478958,77.15052",17725,319,141
1551168721,2019-02-26T08:12:01Z,AIC464,"30.471909,77.15741",18000,322,139
1551168729,2019-02-26T08:12:09Z,AIC464,"30.461517,77.167969",18350,327,138
1551168735,2019-02-26T08:12:15Z,AIC464,"30.458313,77.171257",18500,328,138
1551168796,2019-02-26T08:13:16Z,AIC464,"30.380037,77.251518",19950,380,139
1551168850,2019-02-26T08:14:10Z,AIC464,"30.308022,77.322655",20000,367,149
1551168857,2019-02-26T08:14:17Z,AIC464,"30.299698,77.327271",20000,365,155
1551168863,2019-02-26T08:14:23Z,AIC464,"30.289444,77.331581",20000,366,161
1551168869,2019-02-26T08:14:29Z,AIC464,"30.279671,77.335236",20000,368,162
1551168877,2019-02-26T08:14:37Z,AIC464,"30.268917,77.339081",20000,368,162
1551168944,2019-02-26T08:15:44Z,AIC464,"30.156027,77.378357",20000,360,163
1551169009,2019-02-26T08:16:49Z,AIC464,"30.055243,77.412964",20000,362,163
1551169029,2019-02-26T08:17:09Z,AIC464,"30.021561,77.422325",20000,355,173
1551169051,2019-02-26T08:17:31Z,AIC464,"29.988144,77.418556",20000,351,189
1551169058,2019-02-26T08:17:38Z,AIC464,"29.972855,77.414894",20000,350,192
1551169076,2019-02-26T08:17:56Z,AIC464,"29.945332,77.40538",20000,351,199
1551169083,2019-02-26T08:18:03Z,AIC464,"29.935276,77.400879",20000,350,202
1551169089,2019-02-26T08:18:09Z,AIC464,"29.92543,77.395988",20000,350,204
1551169095,2019-02-26T08:18:15Z,AIC464,"29.918381,77.392166",20000,351,205
1551169155,2019-02-26T08:19:15Z,AIC464,"29.828522,77.342537",20000,359,201
1551169164,2019-02-26T08:19:24Z,AIC464,"29.813278,77.336723",20000,362,196
1551169174,2019-02-26T08:19:34Z,AIC464,"29.799911,77.332657",20000,363,194
1551169242,2019-02-26T08:20:42Z,AIC464,"29.687386,77.305511",20000,359,185
1551169248,2019-02-26T08:20:48Z,AIC464,"29.677097,77.304756",20000,360,183
1551169256,2019-02-26T08:20:56Z,AIC464,"29.666428,77.304245",20000,360,181
1551169310,2019-02-26T08:21:50Z,AIC464,"29.572403,77.312271",19675,359,166
1551169318,2019-02-26T08:21:58Z,AIC464,"29.562424,77.315231",19550,358,164
1551169327,2019-02-26T08:22:07Z,AIC464,"29.546705,77.32032",19350,359,164
1551169345,2019-02-26T08:22:25Z,AIC464,"29.520264,77.32415",18900,350,180
1551169351,2019-02-26T08:22:31Z,AIC464,"29.508728,77.322411",18725,345,189
1551169360,2019-02-26T08:22:40Z,AIC464,"29.494892,77.316879",18475,342,202
1551169366,2019-02-26T08:22:46Z,AIC464,"29.486572,77.311531",18400,341,211
1551169373,2019-02-26T08:22:53Z,AIC464,"29.479111,77.306091",18325,340,212
1551169381,2019-02-26T08:23:01Z,AIC464,"29.465286,77.295898",18175,342,212
1551169388,2019-02-26T08:23:08Z,AIC464,"29.4597,77.291779",18075,340,212
1551169450,2019-02-26T08:24:10Z,AIC464,"29.375565,77.22966",17150,336,212
1551169484,2019-02-26T08:24:44Z,AIC464,"29.330566,77.196335",17000,342,213
1551169515,2019-02-26T08:25:15Z,AIC464,"29.290995,77.166946",17000,323,212
1551169548,2019-02-26T08:25:48Z,AIC464,"29.252014,77.138123",16475,302,212
1551169592,2019-02-26T08:26:32Z,AIC464,"29.198364,77.098404",15350,297,213
1551169625,2019-02-26T08:27:05Z,AIC464,"29.160736,77.070625",14475,297,213
1551169659,2019-02-26T08:27:39Z,AIC464,"29.122662,77.042488",13975,287,212
1551169689,2019-02-26T08:28:09Z,AIC464,"29.089874,77.018387",14000,264,212
1551169723,2019-02-26T08:28:43Z,AIC464,"29.056789,76.993858",14000,257,213
1551169755,2019-02-26T08:29:15Z,AIC464,"29.024855,76.970322",14000,257,212
1551169788,2019-02-26T08:29:48Z,AIC464,"28.990128,76.944756",14000,258,212
1551169819,2019-02-26T08:30:19Z,AIC464,"28.959595,76.922363",14000,254,212
1551169852,2019-02-26T08:30:52Z,AIC464,"28.926491,76.898102",14000,253,212
1551169885,2019-02-26T08:31:25Z,AIC464,"28.894789,76.87484",13975,254,213
1551169921,2019-02-26T08:32:01Z,AIC464,"28.859161,76.848572",13350,252,212
