Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551254091,2019-02-27T07:54:51Z,AIC464,"30.67028,76.786034",0,11,202
1551254107,2019-02-27T07:55:07Z,AIC464,"30.670488,76.786095",0,11,225
1551254142,2019-02-27T07:55:42Z,AIC464,"30.670744,76.786507",0,2,292
1551254289,2019-02-27T07:58:09Z,AIC464,"30.670853,76.786263",0,12,292
1551254305,2019-02-27T07:58:25Z,AIC464,"30.67099,76.785912",0,16,295
1551254317,2019-02-27T07:58:37Z,AIC464,"30.671139,76.785507",0,20,292
1551254324,2019-02-27T07:58:44Z,AIC464,"30.671221,76.785301",0,21,295
1551254332,2019-02-27T07:58:52Z,AIC464,"30.671402,76.784851",0,24,295
1551254344,2019-02-27T07:59:04Z,AIC464,"30.671608,76.784309",0,26,295
1551254350,2019-02-27T07:59:10Z,AIC464,"30.671768,76.783897",0,28,295
1551254356,2019-02-27T07:59:16Z,AIC464,"30.671896,76.783569",0,29,292
1551254364,2019-02-27T07:59:24Z,AIC464,"30.672106,76.783051",0,24,295
1551254370,2019-02-27T07:59:30Z,AIC464,"30.672188,76.782814",0,19,292
1551254381,2019-02-27T07:59:41Z,AIC464,"30.67234,76.782547",0,18,306
1551254399,2019-02-27T07:59:59Z,AIC464,"30.672901,76.782677",0,21,25
1551254426,2019-02-27T08:00:26Z,AIC464,"30.673851,76.783165",0,20,22
1551255443,2019-02-27T08:17:23Z,AIC464,"30.674444,76.786247",0,17,115
1551255458,2019-02-27T08:17:38Z,AIC464,"30.674004,76.787376",0,29,115
1551255464,2019-02-27T08:17:44Z,AIC464,"30.673851,76.787758",0,31,115
1551255477,2019-02-27T08:17:57Z,AIC464,"30.673599,76.788452",0,25,112
1551255501,2019-02-27T08:18:21Z,AIC464,"30.673223,76.789383",0,19,205
1551255624,2019-02-27T08:20:24Z,AIC464,"30.676924,76.779503",0,27,267
1551255637,2019-02-27T08:20:37Z,AIC464,"30.676889,76.778709",0,26,267
1551255652,2019-02-27T08:20:52Z,AIC464,"30.677147,76.778198",0,23,343
1551255660,2019-02-27T08:21:00Z,AIC464,"30.677412,76.778404",0,20,70
1551255667,2019-02-27T08:21:07Z,AIC464,"30.677378,76.778641",0,16,87
1551255675,2019-02-27T08:21:15Z,AIC464,"30.677284,76.778885",0,13,109
1551255682,2019-02-27T08:21:22Z,AIC464,"30.677158,76.77919",0,18,112
1551255693,2019-02-27T08:21:33Z,AIC464,"30.676016,76.782143",0,82,115
1551255704,2019-02-27T08:21:44Z,AIC464,"30.673668,76.788216",0,140,115
1551255712,2019-02-27T08:21:52Z,AIC464,"30.670166,76.797394",1375,172,113
1551255721,2019-02-27T08:22:01Z,AIC464,"30.668106,76.802887",1725,175,113
1551255727,2019-02-27T08:22:07Z,AIC464,"30.666138,76.807953",2075,171,114
1551255733,2019-02-27T08:22:13Z,AIC464,"30.664145,76.81311",2350,168,114
1551255741,2019-02-27T08:22:21Z,AIC464,"30.660507,76.820389",2650,169,124
1551255750,2019-02-27T08:22:30Z,AIC464,"30.65712,76.82486",2825,174,132
1551255756,2019-02-27T08:22:36Z,AIC464,"30.651901,76.831184",2950,186,133
1551255763,2019-02-27T08:22:43Z,AIC464,"30.648272,76.8358",2975,195,132
1551255769,2019-02-27T08:22:49Z,AIC464,"30.644165,76.841339",2975,209,130
1551255777,2019-02-27T08:22:57Z,AIC464,"30.639725,76.847588",2975,224,129
1551255788,2019-02-27T08:23:08Z,AIC464,"30.631027,76.860245",2975,255,128
1551255795,2019-02-27T08:23:15Z,AIC464,"30.627319,76.865685",2975,263,128
1551255802,2019-02-27T08:23:22Z,AIC464,"30.621643,76.874031",2975,269,128
1551255813,2019-02-27T08:23:33Z,AIC464,"30.612101,76.888039",2975,274,128
1551255819,2019-02-27T08:23:39Z,AIC464,"30.607864,76.894302",3050,274,128
1551255827,2019-02-27T08:23:47Z,AIC464,"30.602324,76.902428",3225,276,128
1551255834,2019-02-27T08:23:54Z,AIC464,"30.59725,76.909897",3475,278,128
1551255846,2019-02-27T08:24:06Z,AIC464,"30.587631,76.924011",4075,281,128
1551255856,2019-02-27T08:24:16Z,AIC464,"30.577881,76.938278",4675,285,128
1551255862,2019-02-27T08:24:22Z,AIC464,"30.572483,76.946213",5000,286,128
1551255874,2019-02-27T08:24:34Z,AIC464,"30.562042,76.96138",5675,286,128
1551255888,2019-02-27T08:24:48Z,AIC464,"30.552246,76.975708",6400,283,128
1551255900,2019-02-27T08:25:00Z,AIC464,"30.543045,76.989227",7100,282,128
1551255911,2019-02-27T08:25:11Z,AIC464,"30.532333,77.005005",7650,286,128
1551255925,2019-02-27T08:25:25Z,AIC464,"30.521713,77.020622",8200,291,128
1551255935,2019-02-27T08:25:35Z,AIC464,"30.511551,77.035484",8650,297,128
1551255950,2019-02-27T08:25:50Z,AIC464,"30.50112,77.050797",9200,301,128
1551255963,2019-02-27T08:26:03Z,AIC464,"30.490631,77.066238",9800,299,128
1551255975,2019-02-27T08:26:15Z,AIC464,"30.479691,77.082283",10450,299,128
1551255987,2019-02-27T08:26:27Z,AIC464,"30.469046,77.097878",10750,310,128
1551255999,2019-02-27T08:26:39Z,AIC464,"30.457546,77.114685",10975,323,128
1551256011,2019-02-27T08:26:51Z,AIC464,"30.445953,77.131615",11200,336,128
