Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551771952,2019-03-05T07:45:52Z,AIC464,"30.670395,76.786095",0,10,205
1551771973,2019-03-05T07:46:13Z,AIC464,"30.670624,76.786232",0,10,163
1551772255,2019-03-05T07:50:55Z,AIC464,"30.670826,76.786331",0,15,115
1551772270,2019-03-05T07:51:10Z,AIC464,"30.67065,76.786781",0,20,115
1551772284,2019-03-05T07:51:24Z,AIC464,"30.670361,76.787537",0,28,115
1551772297,2019-03-05T07:51:37Z,AIC464,"30.670074,76.788269",0,31,115
1551772304,2019-03-05T07:51:44Z,AIC464,"30.669638,76.788635",0,31,154
1551772316,2019-03-05T07:51:56Z,AIC464,"30.669266,76.7892",0,34,115
1551772327,2019-03-05T07:52:07Z,AIC464,"30.668976,76.789986",0,16,115
1551772337,2019-03-05T07:52:17Z,AIC464,"30.66865,76.790833",0,33,112
1551772346,2019-03-05T07:52:26Z,AIC464,"30.668484,76.791336",0,25,101
1551772352,2019-03-05T07:52:32Z,AIC464,"30.668591,76.791687",0,27,56
1551772359,2019-03-05T07:52:39Z,AIC464,"30.66894,76.791878",0,21,22
1551772372,2019-03-05T07:52:52Z,AIC464,"30.669172,76.792",0,0,10
1551772519,2019-03-05T07:55:19Z,AIC464,"30.669445,76.792145",0,19,25
1551772529,2019-03-05T07:55:29Z,AIC464,"30.669907,76.792374",0,24,22
1551772535,2019-03-05T07:55:35Z,AIC464,"30.670139,76.792496",0,27,25
1551772548,2019-03-05T07:55:48Z,AIC464,"30.670544,76.792709",0,12,22
1551772725,2019-03-05T07:58:45Z,AIC464,"30.670898,76.7929",0,21,25
1551772738,2019-03-05T07:58:58Z,AIC464,"30.671513,76.793266",0,32,39
1551772747,2019-03-05T07:59:07Z,AIC464,"30.67149,76.793922",0,34,115
1551772753,2019-03-05T07:59:13Z,AIC464,"30.671314,76.794334",0,15,115
1551772761,2019-03-05T07:59:21Z,AIC464,"30.671104,76.794876",0,17,115
1551772768,2019-03-05T07:59:28Z,AIC464,"30.670864,76.795509",0,18,115
1551772782,2019-03-05T07:59:42Z,AIC464,"30.670267,76.797058",0,21,112
1551772820,2019-03-05T08:00:20Z,AIC464,"30.668873,76.800934",0,15,92
1551772831,2019-03-05T08:00:31Z,AIC464,"30.668823,76.801743",0,32,112
1551772839,2019-03-05T08:00:39Z,AIC464,"30.668484,76.801903",0,26,194
1551772848,2019-03-05T08:00:48Z,AIC464,"30.668451,76.801544",0,23,292
1551772856,2019-03-05T08:00:56Z,AIC464,"30.668661,76.801216",0,23,292
1551772862,2019-03-05T08:01:02Z,AIC464,"30.6688,76.80085",0,31,298
1551772878,2019-03-05T08:01:18Z,AIC464,"30.669964,76.797852",0,70,295
1551772888,2019-03-05T08:01:28Z,AIC464,"30.672684,76.79081",0,125,295
1551772895,2019-03-05T08:01:35Z,AIC464,"30.674149,76.786842",1225,146,293
1551772901,2019-03-05T08:01:41Z,AIC464,"30.675751,76.782372",1450,145,292
1551772909,2019-03-05T08:01:49Z,AIC464,"30.677505,76.777679",1750,143,293
1551772918,2019-03-05T08:01:58Z,AIC464,"30.680603,76.769714",2250,145,294
1551772925,2019-03-05T08:02:05Z,AIC464,"30.682434,76.76519",2425,152,295
1551772932,2019-03-05T08:02:12Z,AIC464,"30.684488,76.760101",2600,161,295
1551772944,2019-03-05T08:02:24Z,AIC464,"30.688353,76.750214",3000,175,294
1551772956,2019-03-05T08:02:36Z,AIC464,"30.692871,76.73848",3400,193,294
1551772962,2019-03-05T08:02:42Z,AIC464,"30.695335,76.73214",3600,204,294
1551772968,2019-03-05T08:02:48Z,AIC464,"30.697311,76.727005",3875,211,294
1551772974,2019-03-05T08:02:54Z,AIC464,"30.699738,76.72049",4250,212,293
1551772980,2019-03-05T08:03:00Z,AIC464,"30.702209,76.71376",4600,215,292
1551772987,2019-03-05T08:03:07Z,AIC464,"30.704739,76.706924",5000,216,293
1551773000,2019-03-05T08:03:20Z,AIC464,"30.710558,76.69545",5775,218,306
1551773008,2019-03-05T08:03:28Z,AIC464,"30.7181,76.688194",6300,222,326
1551773017,2019-03-05T08:03:37Z,AIC464,"30.726433,76.684402",6825,224,343
1551773045,2019-03-05T08:04:05Z,AIC464,"30.753246,76.693466",8450,228,41
1551773054,2019-03-05T08:04:14Z,AIC464,"30.759155,76.702774",9025,230,60
1551773062,2019-03-05T08:04:22Z,AIC464,"30.761993,76.713493",9625,227,78
1551773069,2019-03-05T08:04:29Z,AIC464,"30.762465,76.719948",10075,223,86
1551773076,2019-03-05T08:04:36Z,AIC464,"30.76268,76.731102",10750,219,89
1551773101,2019-03-05T08:05:01Z,AIC464,"30.762371,76.760544",11925,238,91
1551773113,2019-03-05T08:05:13Z,AIC464,"30.761948,76.775909",12450,251,92
1551773146,2019-03-05T08:05:46Z,AIC464,"30.758698,76.82206",14200,268,103
1551773152,2019-03-05T08:05:52Z,AIC464,"30.755676,76.830841",14350,278,114
1551773158,2019-03-05T08:05:58Z,AIC464,"30.752548,76.837555",14525,286,118
1551773165,2019-03-05T08:06:05Z,AIC464,"30.748264,76.845963",14700,294,120
1551773173,2019-03-05T08:06:13Z,AIC464,"30.741394,76.859062",14925,307,121
1551773179,2019-03-05T08:06:19Z,AIC464,"30.736404,76.868591",15100,317,121
1551773213,2019-03-05T08:06:53Z,AIC464,"30.709579,76.920128",15800,365,120
1551773241,2019-03-05T08:07:21Z,AIC464,"30.6828,76.967415",16375,398,130
1551773247,2019-03-05T08:07:27Z,AIC464,"30.674107,76.976753",16625,399,137
1551773256,2019-03-05T08:07:36Z,AIC464,"30.661652,76.987663",17075,402,143
1551773265,2019-03-05T08:07:45Z,AIC464,"30.647293,76.999435",17475,405,144
1551773303,2019-03-05T08:08:23Z,AIC464,"30.583969,77.050407",18000,449,145
1551773363,2019-03-05T08:09:23Z,AIC464,"30.477631,77.135979",18775,461,145
1551773425,2019-03-05T08:10:25Z,AIC464,"30.367859,77.216919",21150,470,152
1551773490,2019-03-05T08:11:30Z,AIC464,"30.239319,77.292107",22000,487,152
1551773551,2019-03-05T08:12:31Z,AIC464,"30.112175,77.366379",22000,487,153
1551773590,2019-03-05T08:13:10Z,AIC464,"30.032013,77.407852",22000,476,163
