lat,lon,id1,main,description,icon,temp,pressure,humidity,temp_min,temp_max,visibility,speed,deg,clouds,dt,typ,id2,message,country,sunrise,sunset,idn,name
30.739                                            ,30.796                                            ,800                                               ,Clear                                             ,clear sky                                         ,01d                                               ,297.965                                           ,1019.03                                           ,37                                                ,297.965                                           ,297.965                                           ,None                                              ,2.19                                              ,27.001                                            ,0                                                 ,1552912659                                        ,None                                              ,None                                              ,0.0048                                            ,EG                                                ,1552881826                                        ,1552925177                                        ,354365                                            ,Kafr az Zayyat                                    
28.541                                            ,77.034                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,300.04                                            ,1013                                              ,30                                                ,299.82                                            ,300.15                                            ,5000                                              ,3.6                                               ,280                                               ,40                                                ,1552913108                                        ,1                                                 ,9165                                              ,0.0071                                            ,IN                                                ,1552870727                                        ,1552914081                                        ,1257567                                           ,Samālkha                                          
28.535                                            ,77.031                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,298.74                                            ,1013                                              ,36                                                ,298.15                                            ,299.82                                            ,5000                                              ,4.1                                               ,270                                               ,40                                                ,1552914007                                        ,1                                                 ,9165                                              ,0.0076                                            ,IN                                                ,1552870731                                        ,1552914086                                        ,1257567                                           ,Samālkha                                          
28.527                                            ,77.028                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,298.74                                            ,1013                                              ,36                                                ,298.15                                            ,299.82                                            ,5000                                              ,4.1                                               ,270                                               ,40                                                ,1552914007                                        ,1                                                 ,9165                                              ,0.0067                                            ,IN                                                ,1552870731                                        ,1552914086                                        ,1257567                                           ,Samālkha                                          
28.520                                            ,77.027                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,298.74                                            ,1013                                              ,36                                                ,298.15                                            ,299.82                                            ,5000                                              ,4.1                                               ,270                                               ,40                                                ,1552914007                                        ,1                                                 ,9165                                              ,0.0071                                            ,IN                                                ,1552870731                                        ,1552914086                                        ,1257567                                           ,Samālkha                                          
28.514                                            ,77.026                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,298.15                                            ,1013                                              ,41                                                ,297.15                                            ,299.82                                            ,5000                                              ,3.6                                               ,300                                               ,40                                                ,1552914007                                        ,1                                                 ,9165                                              ,0.0077                                            ,IN                                                ,1552870731                                        ,1552914086                                        ,1270642                                           ,Gurgaon                                           
28.507                                            ,77.024                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,298.16                                            ,1013                                              ,41                                                ,297.15                                            ,299.82                                            ,5000                                              ,3.6                                               ,300                                               ,40                                                ,1552914007                                        ,1                                                 ,9165                                              ,0.0069                                            ,IN                                                ,1552870734                                        ,1552914088                                        ,1270642                                           ,Gurgaon                                           
28.500                                            ,77.022                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,298.17                                            ,1013                                              ,41                                                ,297.15                                            ,299.82                                            ,5000                                              ,3.6                                               ,300                                               ,40                                                ,1552914007                                        ,1                                                 ,9165                                              ,0.0066                                            ,IN                                                ,1552870733                                        ,1552914088                                        ,1270642                                           ,Gurgaon                                           
28.486                                            ,77.019                                            ,721                                               ,Haze                                              ,haze                                              ,50n                                               ,298.21                                            ,1013                                              ,41                                                ,297.15                                            ,299.82                                            ,5000                                              ,3.6                                               ,310                                               ,40                                                ,1552915800                                        ,1                                                 ,9165                                              ,0.0165                                            ,IN                                                ,1552870733                                        ,1552914088                                        ,1270642                                           ,Gurgaon                                           
28.479                                            ,77.017                                            ,721                                               ,Haze                                              ,haze                                              ,50n                                               ,298.23                                            ,1013                                              ,41                                                ,297.15                                            ,299.82                                            ,5000                                              ,3.6                                               ,310                                               ,40                                                ,1552915800                                        ,1                                                 ,9165                                              ,0.0057                                            ,IN                                                ,1552870733                                        ,1552914088                                        ,1270642                                           ,Gurgaon                                           
28.472                                            ,77.015                                            ,721                                               ,Haze                                              ,haze                                              ,50n                                               ,298                                               ,1013                                              ,41                                                ,297.15                                            ,299.82                                            ,5000                                              ,3.6                                               ,310                                               ,40                                                ,1552918507                                        ,1                                                 ,9165                                              ,0.0061                                            ,IN                                                ,1552870733                                        ,1552914088                                        ,1270642                                           ,Gurgaon                                           
28.463                                            ,77.013                                            ,721                                               ,Haze                                              ,haze                                              ,50n                                               ,298.04                                            ,1013                                              ,41                                                ,297.15                                            ,299.82                                            ,4000                                              ,3.6                                               ,300                                               ,40                                                ,1552918507                                        ,1                                                 ,9165                                              ,0.0089                                            ,IN                                                ,1552870736                                        ,1552914091                                        ,1270642                                           ,Gurgaon                                           
28.449                                            ,77.009                                            ,721                                               ,Haze                                              ,haze                                              ,50n                                               ,298.03                                            ,1013                                              ,41                                                ,297.15                                            ,299.82                                            ,4000                                              ,3.6                                               ,300                                               ,40                                                ,1552918507                                        ,1                                                 ,9165                                              ,0.0049                                            ,IN                                                ,1552870736                                        ,1552914091                                        ,1270642                                           ,Gurgaon                                           
28.441                                            ,77.007                                            ,721                                               ,Haze                                              ,haze                                              ,50n                                               ,298.49                                            ,1013                                              ,41                                                ,297.15                                            ,299.82                                            ,4000                                              ,3.6                                               ,300                                               ,40                                                ,1552920307                                        ,1                                                 ,9165                                              ,0.0057                                            ,IN                                                ,1552870736                                        ,1552914091                                        ,1267034                                           ,Khāndsa                                           
28.425                                            ,77.003                                            ,721                                               ,Haze                                              ,haze                                              ,50n                                               ,298.12                                            ,1013                                              ,46                                                ,296.15                                            ,299.82                                            ,4000                                              ,2.6                                               ,320                                               ,40                                                ,1552921207                                        ,1                                                 ,9165                                              ,0.007                                             ,IN                                                ,1552870738                                        ,1552914093                                        ,1267034                                           ,Khāndsa                                           
28.410                                            ,76.998                                            ,721                                               ,Haze                                              ,haze                                              ,50n                                               ,298.09                                            ,1013                                              ,46                                                ,296.15                                            ,299.82                                            ,4000                                              ,2.6                                               ,320                                               ,40                                                ,1552921207                                        ,1                                                 ,9165                                              ,0.0059                                            ,IN                                                ,1552870738                                        ,1552914093                                        ,1267034                                           ,Khāndsa                                           
28.395                                            ,76.994                                            ,721                                               ,Haze                                              ,haze                                              ,50n                                               ,297.42                                            ,1013                                              ,46                                                ,296.15                                            ,298.71                                            ,4000                                              ,2.6                                               ,320                                               ,40                                                ,1552922107                                        ,1                                                 ,9165                                              ,0.0049                                            ,IN                                                ,1552870740                                        ,1552914096                                        ,1267034                                           ,Khāndsa                                           
28.379                                            ,76.989                                            ,721                                               ,Haze                                              ,haze                                              ,50n                                               ,297.22                                            ,1013                                              ,46                                                ,296.15                                            ,298.15                                            ,4000                                              ,2.1                                               ,10                                                ,40                                                ,1552923008                                        ,1                                                 ,9165                                              ,0.0084                                            ,IN                                                ,1552870740                                        ,1552914096                                        ,1267034                                           ,Khāndsa                                           
28.369                                            ,76.984                                            ,721                                               ,Haze                                              ,haze                                              ,50n                                               ,297.2                                             ,1013                                              ,46                                                ,296.15                                            ,298.15                                            ,4000                                              ,2.1                                               ,10                                                ,40                                                ,1552923008                                        ,1                                                 ,9165                                              ,0.0051                                            ,IN                                                ,1552870743                                        ,1552914098                                        ,1267034                                           ,Khāndsa                                           
28.360                                            ,76.977                                            ,721                                               ,Haze                                              ,haze                                              ,50n                                               ,297.21                                            ,1013                                              ,46                                                ,296.15                                            ,298.15                                            ,4000                                              ,2.1                                               ,10                                                ,40                                                ,1552923008                                        ,1                                                 ,9165                                              ,0.006                                             ,IN                                                ,1552870743                                        ,1552914098                                        ,1267034                                           ,Khāndsa                                           
28.353                                            ,76.971                                            ,721                                               ,Haze                                              ,haze                                              ,50n                                               ,297.36                                            ,1013                                              ,46                                                ,296.15                                            ,298.71                                            ,4000                                              ,2.1                                               ,10                                                ,40                                                ,1552924807                                        ,1                                                 ,9165                                              ,0.0048                                            ,IN                                                ,1552870745                                        ,1552914101                                        ,1267621                                           ,Kāsan                                             
