lat,lon,types,querys,observation_time,temp_c,temp_f,weathercode,weathericonurl,weatherdesc,windspeedmiles,windspeedkmph,winddirdegree,winddir16point,precipmm,humidity,visibility,pressure,cloudcover,feelslikec,feelslikef,uvindex,day_date,day_sunrise,day_sunset,day_moonrise,day_moonset,day_moon_phase,day_moon_illumination,day_maxtempc,day_maxtempf,day_mintempc,day_mintempf,day_totalsnow_cm,day_sunhour,day_uvindex,hour_times,hour_tempc,hour_tempf,hour_windspeedmiles,hour_windspeedkmph,hour_winddirdegree,hour_weathercode,hour_winddir16point,hour_weathericonurl,hour_weatherdesc,hour_precipmm,hour_humidity,hour_visibility,hour_pressure,hour_cloudcover,hour_heatindexc,hour_heatindexf,hour_dewpointc,hour_dewpointf,hour_windchillc,hour_windchillf,hour_windgustmiles,hour_windgustkmph,hour_feelslikec,hour_feelslikef,hour_chanceofrain,hour_chanceofremdry,hour_chanceofwindy,hour_chanceofovercast,hour_chanceofsunshine,hour_chanceoffrost,hour_chanceofhightemp,hour_chanceoffog,hour_chanceofsnow,hour_chanceofthunder,hour_uvindex,month_index,month_name,month_avgmintemp,month_avgmintemp_f,month_absmaxtemp,month_absmaxtemp_f,month_avgdailyrainfall
28.550                                            ,77.051                                            ,LatLon                                            ,Lat 30.74 and Lon 30.80                           ,12:44 PM                                          ,23                                                ,73                                                ,113                                               ,url                                               ,Sunny                                             ,8                                                 ,13                                                ,50                                                ,NE                                                ,0.0                                               ,33                                                ,10                                                ,1019                                              ,0                                                 ,24                                                ,75                                                ,6                                                 ,2019-03-18                                        ,06:04 AM                                          ,06:06 PM                                          ,03:16 PM                                          ,04:13 AM                                          ,Full Moon                                         ,98                                                ,28                                                ,82                                                ,13                                                ,55                                                ,0.0                                               ,11.6                                              ,5                                                 ,0                                                 ,14                                                ,57                                                ,2                                                 ,4                                                 ,284                                               ,116                                               ,WNW                                               ,url                                               ,Partly cloudy                                     ,0.0                                               ,92                                                ,10                                                ,1021                                              ,1                                                 ,14                                                ,57                                                ,13                                                ,55                                                ,14                                                ,58                                                ,3                                                 ,4                                                 ,14                                                ,58                                                ,0                                                 ,84                                                ,0                                                 ,11                                                ,88                                                ,0                                                 ,0                                                 ,0                                                 ,0                                                 ,0                                                 ,4                                                 ,1                                                 ,January                                           ,8.6                                               ,47.6                                              ,22.01526                                          ,71.6                                              ,0.07                                              
28.541                                            ,77.034                                            ,LatLon                                            ,Lat 28.54 and Lon 77.03                           ,12:54 PM                                          ,25                                                ,77                                                ,143                                               ,url                                               ,Haze                                              ,9                                                 ,15                                                ,270                                               ,W                                                 ,0.0                                               ,36                                                ,5                                                 ,1013                                              ,50                                                ,25                                                ,77                                                ,6                                                 ,2019-03-18                                        ,06:28 AM                                          ,06:31 PM                                          ,03:36 PM                                          ,04:27 AM                                          ,Full Moon                                         ,98                                                ,33                                                ,91                                                ,24                                                ,75                                                ,0.0                                               ,12.0                                              ,7                                                 ,30                                                ,26                                                ,78                                                ,4                                                 ,6                                                 ,337                                               ,113                                               ,NNW                                               ,url                                               ,Clear                                             ,0.0                                               ,33                                                ,10                                                ,1012                                              ,1                                                 ,25                                                ,78                                                ,8                                                 ,47                                                ,26                                                ,78                                                ,4                                                 ,7                                                 ,25                                                ,78                                                ,0                                                 ,87                                                ,0                                                 ,21                                                ,78                                                ,0                                                 ,53                                                ,0                                                 ,0                                                 ,0                                                 ,7                                                 ,1                                                 ,January                                           ,8.7                                               ,47.7                                              ,22.65158                                          ,72.8                                              ,0.24                                              
28.535                                            ,77.031                                            ,LatLon                                            ,Lat 28.54 and Lon 77.03                           ,01:04 PM                                          ,25                                                ,77                                                ,143                                               ,url                                               ,Haze                                              ,9                                                 ,15                                                ,270                                               ,W                                                 ,0.0                                               ,36                                                ,5                                                 ,1013                                              ,50                                                ,25                                                ,77                                                ,0                                                 ,2019-03-18                                        ,06:29 AM                                          ,06:32 PM                                          ,03:36 PM                                          ,04:27 AM                                          ,Full Moon                                         ,98                                                ,30                                                ,87                                                ,23                                                ,73                                                ,0.0                                               ,12.0                                              ,7                                                 ,30                                                ,25                                                ,76                                                ,3                                                 ,5                                                 ,330                                               ,113                                               ,NNW                                               ,url                                               ,Clear                                             ,0.0                                               ,33                                                ,10                                                ,1012                                              ,1                                                 ,25                                                ,76                                                ,7                                                 ,45                                                ,25                                                ,76                                                ,4                                                 ,6                                                 ,25                                                ,76                                                ,0                                                 ,87                                                ,0                                                 ,25                                                ,85                                                ,0                                                 ,15                                                ,0                                                 ,0                                                 ,0                                                 ,6                                                 ,1                                                 ,January                                           ,8.6                                               ,47.5                                              ,22.55184                                          ,72.6                                              ,0.26                                              
28.527                                            ,77.028                                            ,LatLon                                            ,Lat 28.53 and Lon 77.03                           ,01:14 PM                                          ,25                                                ,77                                                ,143                                               ,url                                               ,Haze                                              ,9                                                 ,15                                                ,270                                               ,W                                                 ,0.0                                               ,36                                                ,5                                                 ,1013                                              ,50                                                ,25                                                ,77                                                ,0                                                 ,2019-03-18                                        ,06:29 AM                                          ,06:32 PM                                          ,03:36 PM                                          ,04:27 AM                                          ,Full Moon                                         ,98                                                ,30                                                ,87                                                ,23                                                ,73                                                ,0.0                                               ,12.0                                              ,7                                                 ,30                                                ,25                                                ,76                                                ,3                                                 ,5                                                 ,330                                               ,113                                               ,NNW                                               ,url                                               ,Clear                                             ,0.0                                               ,33                                                ,10                                                ,1012                                              ,1                                                 ,25                                                ,76                                                ,7                                                 ,45                                                ,25                                                ,76                                                ,4                                                 ,6                                                 ,25                                                ,76                                                ,0                                                 ,87                                                ,0                                                 ,25                                                ,85                                                ,0                                                 ,15                                                ,0                                                 ,0                                                 ,0                                                 ,6                                                 ,1                                                 ,January                                           ,8.6                                               ,47.5                                              ,22.55184                                          ,72.6                                              ,0.26                                              
28.520                                            ,77.027                                            ,LatLon                                            ,Lat 28.52 and Lon 77.03                           ,01:25 PM                                          ,24                                                ,75                                                ,143                                               ,url                                               ,Haze                                              ,8                                                 ,13                                                ,300                                               ,WNW                                               ,0.0                                               ,41                                                ,5                                                 ,1013                                              ,50                                                ,25                                                ,77                                                ,0                                                 ,2019-03-18                                        ,06:29 AM                                          ,06:32 PM                                          ,03:36 PM                                          ,04:27 AM                                          ,Full Moon                                         ,98                                                ,30                                                ,87                                                ,23                                                ,73                                                ,0.0                                               ,12.0                                              ,7                                                 ,30                                                ,25                                                ,76                                                ,3                                                 ,5                                                 ,330                                               ,113                                               ,NNW                                               ,url                                               ,Clear                                             ,0.0                                               ,33                                                ,10                                                ,1012                                              ,1                                                 ,25                                                ,76                                                ,7                                                 ,45                                                ,25                                                ,76                                                ,4                                                 ,6                                                 ,25                                                ,76                                                ,0                                                 ,87                                                ,0                                                 ,25                                                ,85                                                ,0                                                 ,15                                                ,0                                                 ,0                                                 ,0                                                 ,6                                                 ,1                                                 ,January                                           ,8.6                                               ,47.5                                              ,22.55184                                          ,72.6                                              ,0.26                                              
28.514                                            ,77.026                                            ,LatLon                                            ,Lat 28.51 and Lon 77.03                           ,01:35 PM                                          ,24                                                ,75                                                ,143                                               ,url                                               ,Haze                                              ,8                                                 ,13                                                ,300                                               ,WNW                                               ,0.0                                               ,41                                                ,5                                                 ,1013                                              ,50                                                ,25                                                ,77                                                ,0                                                 ,2019-03-18                                        ,06:29 AM                                          ,06:32 PM                                          ,03:36 PM                                          ,04:27 AM                                          ,Full Moon                                         ,98                                                ,30                                                ,87                                                ,23                                                ,73                                                ,0.0                                               ,12.0                                              ,7                                                 ,30                                                ,25                                                ,76                                                ,3                                                 ,5                                                 ,330                                               ,113                                               ,NNW                                               ,url                                               ,Clear                                             ,0.0                                               ,33                                                ,10                                                ,1012                                              ,1                                                 ,25                                                ,76                                                ,7                                                 ,45                                                ,25                                                ,76                                                ,4                                                 ,6                                                 ,25                                                ,76                                                ,0                                                 ,87                                                ,0                                                 ,25                                                ,85                                                ,0                                                 ,15                                                ,0                                                 ,0                                                 ,0                                                 ,6                                                 ,1                                                 ,January                                           ,8.6                                               ,47.5                                              ,22.55184                                          ,72.6                                              ,0.26                                              
28.507                                            ,77.024                                            ,LatLon                                            ,Lat 28.51 and Lon 77.02                           ,01:45 PM                                          ,24                                                ,75                                                ,143                                               ,url                                               ,Haze                                              ,8                                                 ,13                                                ,300                                               ,WNW                                               ,0.0                                               ,41                                                ,5                                                 ,1013                                              ,50                                                ,25                                                ,77                                                ,0                                                 ,2019-03-18                                        ,06:29 AM                                          ,06:32 PM                                          ,03:36 PM                                          ,04:27 AM                                          ,Full Moon                                         ,98                                                ,30                                                ,87                                                ,23                                                ,73                                                ,0.0                                               ,12.0                                              ,7                                                 ,30                                                ,25                                                ,76                                                ,3                                                 ,5                                                 ,330                                               ,113                                               ,NNW                                               ,url                                               ,Clear                                             ,0.0                                               ,33                                                ,10                                                ,1012                                              ,1                                                 ,25                                                ,76                                                ,7                                                 ,45                                                ,25                                                ,76                                                ,4                                                 ,6                                                 ,25                                                ,76                                                ,0                                                 ,87                                                ,0                                                 ,25                                                ,85                                                ,0                                                 ,15                                                ,0                                                 ,0                                                 ,0                                                 ,6                                                 ,1                                                 ,January                                           ,8.6                                               ,47.5                                              ,22.55184                                          ,72.6                                              ,0.26                                              
28.500                                            ,77.022                                            ,LatLon                                            ,Lat 28.50 and Lon 77.02                           ,01:55 PM                                          ,24                                                ,75                                                ,143                                               ,url                                               ,Haze                                              ,8                                                 ,13                                                ,310                                               ,NW                                                ,0.0                                               ,41                                                ,5                                                 ,1013                                              ,50                                                ,25                                                ,77                                                ,0                                                 ,2019-03-18                                        ,06:29 AM                                          ,06:32 PM                                          ,03:36 PM                                          ,04:27 AM                                          ,Full Moon                                         ,98                                                ,30                                                ,87                                                ,23                                                ,73                                                ,0.0                                               ,12.0                                              ,7                                                 ,30                                                ,25                                                ,76                                                ,3                                                 ,5                                                 ,330                                               ,113                                               ,NNW                                               ,url                                               ,Clear                                             ,0.0                                               ,33                                                ,10                                                ,1012                                              ,1                                                 ,25                                                ,76                                                ,7                                                 ,45                                                ,25                                                ,76                                                ,4                                                 ,6                                                 ,25                                                ,76                                                ,0                                                 ,87                                                ,0                                                 ,25                                                ,85                                                ,0                                                 ,15                                                ,0                                                 ,0                                                 ,0                                                 ,6                                                 ,1                                                 ,January                                           ,8.6                                               ,47.5                                              ,22.55184                                          ,72.6                                              ,0.26                                              
28.486                                            ,77.019                                            ,LatLon                                            ,Lat 28.49 and Lon 77.02                           ,02:05 PM                                          ,24                                                ,75                                                ,143                                               ,url                                               ,Haze                                              ,8                                                 ,13                                                ,310                                               ,NW                                                ,0.0                                               ,41                                                ,5                                                 ,1013                                              ,50                                                ,25                                                ,77                                                ,0                                                 ,2019-03-18                                        ,06:29 AM                                          ,06:32 PM                                          ,03:36 PM                                          ,04:27 AM                                          ,Full Moon                                         ,98                                                ,30                                                ,87                                                ,23                                                ,73                                                ,0.0                                               ,12.0                                              ,7                                                 ,30                                                ,25                                                ,76                                                ,3                                                 ,5                                                 ,330                                               ,113                                               ,NNW                                               ,url                                               ,Clear                                             ,0.0                                               ,33                                                ,10                                                ,1012                                              ,1                                                 ,25                                                ,76                                                ,7                                                 ,45                                                ,25                                                ,76                                                ,4                                                 ,6                                                 ,25                                                ,76                                                ,0                                                 ,87                                                ,0                                                 ,25                                                ,85                                                ,0                                                 ,15                                                ,0                                                 ,0                                                 ,0                                                 ,6                                                 ,1                                                 ,January                                           ,8.6                                               ,47.5                                              ,22.55184                                          ,72.6                                              ,0.26                                              
28.479                                            ,77.017                                            ,LatLon                                            ,Lat 28.48 and Lon 77.02                           ,02:15 PM                                          ,24                                                ,75                                                ,143                                               ,url                                               ,Haze                                              ,8                                                 ,13                                                ,310                                               ,NW                                                ,0.0                                               ,41                                                ,5                                                 ,1013                                              ,50                                                ,25                                                ,77                                                ,0                                                 ,2019-03-18                                        ,06:29 AM                                          ,06:32 PM                                          ,03:36 PM                                          ,04:27 AM                                          ,Full Moon                                         ,98                                                ,30                                                ,87                                                ,23                                                ,73                                                ,0.0                                               ,12.0                                              ,7                                                 ,30                                                ,25                                                ,76                                                ,3                                                 ,5                                                 ,330                                               ,113                                               ,NNW                                               ,url                                               ,Clear                                             ,0.0                                               ,33                                                ,10                                                ,1012                                              ,1                                                 ,25                                                ,76                                                ,7                                                 ,45                                                ,25                                                ,76                                                ,4                                                 ,6                                                 ,25                                                ,76                                                ,0                                                 ,87                                                ,0                                                 ,25                                                ,85                                                ,0                                                 ,15                                                ,0                                                 ,0                                                 ,0                                                 ,6                                                 ,1                                                 ,January                                           ,8.6                                               ,47.5                                              ,22.55184                                          ,72.6                                              ,0.26                                              
